fg_price_low,Close,num_days_gt_50d_ma,High,num_days_gt_10d_ma,,price
29.050003,29.862858,21,29.907145,5,,0.0001
29.94443,30.230001,0,30.564287,0,,72.625
29.818573,29.871431,28,30.388573,5,,0.0031
29.758572,30.234287,21,30.285715,4,,36.13
30.080002,30.104572,35,30.478573,8,,44.09
30.340002,30.572857,20,30.642859,7,,41.25
30.464287,30.625717,15,30.798573,0,,10.22
30.107143,30.138573,23,30.747143,1,,0.47
29.864288,30.082859,,30.285715,,,0.021
29.865715,30.282858,1,30.285715,0,,0.61
29.778572,30.015717,27,30.428574,4,,11.35
29.488573,29.674288,26,29.967144,5,,4.96
29.157145,30.092857,21,30.132858,5,,34.92
29.860003,29.918571,22,30.065716,5,,0.0217
29.41,29.418571,27,30.228573,4,,5.8
29.605717,30.720001,12,30.74143,1,,0.0029
29.928574,30.246431,,30.792858,,,2.88
29.60143,29.724573,28,30.4734,6,,1.404
28.165716,28.250002,23,29.642859,0,,0.44
28.598574,29.010715,28,29.242859,5,,0.325
28.940002,29.420002,28,30.530003,5,,0.0002
28.50443,29.697716,,30.082859,,,29.25
28.385715,28.470001,29,29.357143,5,,0.115
27.178572,27.437572,16,28.885715,3,,29.48
27.328573,27.818573,,28.000002,,,8.37
27.625717,27.980001,19,28.045717,3,,67.4
27.774286,28.46143,18,28.6,4,,4.88
27.367146,27.435717,7,28.338572,0,,26.13
27.264288,27.92286,30,28.000002,6,,0.02
27.714287,27.73143,3,28.268574,1,,22
27.82143,28.027145,,28.214287,,,41.84
27.751429,27.873714,28,28.085716,5,,21.25
27.722858,28.38143,14,28.535715,6,,0.93
27.928574,28.625717,29,28.805716,4,,69.1
28.788574,29.057144,0,29.098574,0,,35.9
28.694286,28.935717,19,29.187143,4,,225.99
28.702858,28.989716,23,29.127144,4,,20.8
28.730001,28.810001,24,29.028572,4,,0.265
28.455715,28.63086,23,28.928574,5,,0.0019
27.958574,28.151287,,28.76143,,,0.003
28.262857,28.665146,,28.777145,,,3.09
28.127144,28.857143,23,28.980001,5,,62.5
28.857143,29.23143,27,29.310001,5,,0.00455
29.35,29.855717,0,29.928574,0,,9.14
29.677145,29.835716,14,30.118572,0,,0.00585
29.705715,29.904287,28,29.98143,4,,2.57
29.804287,30.10143,4,30.13143,1,,1.42
30.66143,31.278572,26,31.385715,5,,1
31.178574,31.297144,25,31.44143,5,,3.47
31.127144,31.860003,,32.14286,,,0.0002
31.885715,32.120003,0,32.21143,0,,8.34
31.902859,32.214287,10,32.214287,3,,23.0281
32.25,32.37143,25,32.53286,4,,0.25
31.464287,31.977144,0,32.214287,0,,0.0205
31.787144,32.064285,1,32.14,0,,1.99
31.895716,32.017143,31,32.350002,5,,0.0006
31.80143,32.092857,20,32.14286,5,,0.2701
31.604286,31.749987,26,32.177147,6,,7.98
31.45,32.107143,14,32.285717,3,,490.43
32.01429,32.62286,18,32.682858,3,,1.00E-06
32.50143,32.767143,0,32.885715,0,,63.64
32.32143,32.37857,26,32.995716,3,,1.00E-05
32.65,32.985714,11,33.135715,6,,12.25
33.088573,33.198574,22,33.40999,6,,4.06
33.464287,33.692146,23,33.925716,4,,0.047
33.49429,33.57143,25,33.80143,6,,1.755
33.25,33.710003,12,34.104286,1,,0.00585
33.538574,34.070004,22,34.072857,6,,0.0001
33.857143,34.22,9,34.320004,4,,1.7
34.0943,34.37143,21,34.56,0,,0.0013
34.005714,34.278572,24,34.505714,4,,0.805
34.351433,34.541428,25,34.555717,5,,116.74
34.54429,34.612858,,34.72429,,,0.019
34.444286,34.63286,32,34.685715,5,,2.23
34.867146,35.09857,,35.115715,,,1736.5
35.072857,35.56,,35.575714,,,0.004
34.935715,35.342857,,35.877144,,,46.49
34.538574,35.295715,,35.412857,,,2.39
34.70786,34.94143,20,35.607143,8,,0.012
36.53286,37.03143,25,37.178574,5,,0.7834
36.600002,38.067074,5,38.107143,2,,0.06
38.14286,38.69,0,38.88286,0,,4.12
38.31286,38.5,21,38.92286,5,,0.1275
37.217144,37.434288,19,38.26286,6,,0.005
36.63,37.37143,24,37.714287,4,,17.33
37.430004,38.377148,0,38.57143,1,,0.00134
37.285717,37.298573,28,38.65286,5,,0.06
37.554287,38.050003,17,38.268574,3,,0.17275
36.678574,36.954285,18,37.61286,2,,139.49
35.53286,36.569286,,36.877148,,,48.63
28.464287,35.178574,3,36.89286,1,,12.150001
32.17286,33.694286,8,35.22429,3,,41.98
35.504288,36.284286,22,36.37857,6,,231.01
35.785717,36.645714,26,37.127148,4,,0.0107
36.957146,37.44143,6,37.590004,1,,0.0011
36.62857,36.90857,21,37.857143,6,,30.23
35.64286,36.260002,,36.640003,,,8.17
35.387146,36.317146,34,36.597145,5,,0.004
35.75143,36.05143,25,36.935715,5,,0.0001
34.978573,35.477142,0,36.13143,0,,10.255
33.74429,33.965714,28,34.835716,5,,0.0285
33.050003,34.617146,19,34.928574,3,,0.1728
35.18,35.25143,,35.842857,,,94.51
33.88,35.03143,25,35.25143,5,,4.4
34.82143,34.872715,26,36.018574,6,,10.3
35.587143,36.19286,22,36.27,6,,0.0005
36.19286,36.697144,23,37.057144,4,,1.55
36.994286,37.26143,28,37.991432,3,,0.41
37.190716,37.707146,23,37.82857,6,,0.08
37.20143,37.588573,1,37.935715,1,,19.9
36.375717,36.56643,20,37.414288,5,,0.0001
35.79286,35.84857,34,37.02143,5,,0.0001
35.092857,35.618572,31,36.257145,4,,79.08
34.64143,34.74286,10,35.985714,1,,0.05
34.600002,35.787144,5,35.854286,0,,0.145
35.338573,36.215714,27,36.265717,7,,0.018
36.287144,36.325714,5,37.02143,3,,14.13
36.5,37.09857,,37.12143,,,1.00E-06
37.232887,38.178574,24,38.25,5,,1.39
38.5,38.838573,1,38.985714,0,,62.94
38.77429,39.15343,16,39.285717,5,,21.99
38.390003,38.59572,,39.858574,,,0.04375
38.785717,39.12143,0,39.424286,1,,1.35
38.27143,38.710003,22,39.237144,6,,0.0007
38.300003,38.428574,18,39.02786,1,,14.81
37.97286,38.100002,29,38.61,4,,81.73
37.78857,38.32857,,38.535717,,,0.0025
36.328575,36.59572,4,37.770004,0,,25.19
35.715714,35.932858,24,36.85286,5,,0.355
34.745716,35.497143,5,36.4,3,,11.77
34.74286,35.277145,0,35.847145,1,,0.0001
35.165718,35.518574,5,36.11429,2,,3
35.678574,36.952145,30,36.967144,3,,0.003
36.412857,36.870003,8,37.557144,3,,18.11
36.45143,37.088573,28,37.12857,5,,1.26
36.408573,36.755,29,37.407146,3,,0.0037
35.204285,35.971146,31,36.62857,5,,0.0001
35.57143,36.10386,,36.54286,,,1.92
35.328575,35.92143,16,36.710003,3,,14.585
35.487144,35.7,,36.424286,,,142.5
34.228573,35.08286,23,35.697144,4,,2.975
34.287144,35.984287,18,36.12857,5,,0.01675
36.285717,36.320004,19,37.87857,4,,1.00E-06
36.47286,37.00343,29,37.14286,6,,1.00E-06
36.61143,37.13429,25,37.197144,4,,0.85
36.815716,37.04,24,37.157116,5,,0.231
37.185715,37.725716,17,37.82857,5,,66.98
37.178574,37.28,16,37.998573,4,,0.115
36.585716,36.872856,,37.52143,,,3.45
36.414288,36.75,35,37.100002,4,,6.27
37.088573,37.407146,22,37.51286,5,,15400
37.060005,37.41857,1,37.608574,3,,36.35
37.187286,37.568573,25,37.754288,5,,3.39
37.221428,37.38572,25,37.597145,4,,0.0017
36.804287,37.15586,20,37.355713,4,,142.135
37.081432,37.39286,,37.45,,,0.0001
36.79286,37.058575,9,37.207146,1,,0.0001
35.687145,35.741432,15,36.527145,3,,0.0002
35.16,35.97,,36.157146,,,0.0028
35.584286,35.585716,,35.98286,,,27.24
35.23143,35.377144,,35.715714,,,0.034
35.600002,35.995716,,36.375717,,,9.52
35.940002,36.15286,26,36.38143,4,,10.7
35.525715,35.697144,32,36.21143,6,,74.27
35.57143,35.662857,,36.27429,,,0.008
35.035717,35.11429,27,36,4,,0.0086
34.092857,34.275715,24,34.714287,4,,0.81
33.885715,34.698574,,34.855717,,,4
34.3254,34.325714,25,35.107143,3,,2.43
33.65143,34.517143,21,34.658573,4,,0.035
34.382874,34.64286,10,35.107143,1,,0.0031
34.335716,34.728573,,34.937145,,,0.1252
35.182858,35.76143,38,35.92286,0,,0.17505
35.510002,36.02429,38,36.02429,0,,0.05
36.357143,36.967144,22,36.968575,4,,0.0064
36.607143,36.83,29,37.075714,3,,35
37.01429,37.560005,25,37.769985,5,,7.09
37.560005,37.581432,26,38.074287,4,,0.31
37.342857,37.63,23,37.785717,4,,1.5
37.965717,38.148575,9,38.325714,0,,63.66
37.931427,38.29429,31,38.45286,4,,15.64
38.26286,38.60286,17,38.625717,6,,13.91
38.5,39.510002,16,39.52429,1,,21.48
39.097145,39.338573,20,39.708572,5,,0.25
39.407146,40.461433,25,40.54,3,,50.46
40.398575,40.53857,18,41.050003,4,,4.67
40.344288,41.107143,7,41.140003,0,,0.0003
40.857143,41.27429,14,41.82286,0,,3.04
41.50714,41.760002,,41.932858,,,3.54
41.57286,41.59486,2,42.10429,0,,8
39.285717,40.98,25,41.681427,2,,0.0105
40.857143,41.052856,21,41.40143,1,,4.86
40.178574,40.535717,18,41.428574,4,,0.017
40.19286,40.36,16,40.94,4,,0.031
39.681427,39.805717,20,40.414288,3,,2.06
40.26007,41.277145,,41.350002,,,41.91
40.75143,41.31286,0,41.712856,0,,24.16
40.987144,41.317146,27,41.497147,4,,0.00525
41.428574,42.010002,20,42.07143,5,,0.04
42.085716,42.194286,0,42.462856,0,,1.41
41.784286,42.648575,23,42.785717,5,,21.81
42.82857,42.877148,27,43.137142,4,,0.0001
42.914288,43.187145,7,43.210003,1,,0.0032
43.558575,44.962856,27,45.000004,6,,0.033
44.898575,45.428574,27,45.57143,4,,9.26
42.86,44.212856,4,44.824287,3,,0.0003
43.838573,44.36143,21,44.89286,3,,0.19999999
43.82857,44.217144,26,44.962856,5,,0.0575
43.757145,43.92429,0,44.29143,0,,5.52
44.06286,44.120003,27,44.51429,4,,0.004
43.664288,44.007145,24,44.248573,4,,1.65
43.657146,43.975716,0,44.27143,0,,0.03555
42.985714,43.605717,23,44.000004,4,,2.78
42.98143,42.997147,9,43.697147,1,,27.53
43.171432,43.45429,5,43.657146,0,,4.26
43.857143,44.194286,21,44.31286,3,,0.61
44.075718,44.685715,37,44.697147,5,,0.6142
45.004288,45.467144,11,45.74,2,,2.79
45.250004,45.304287,11,45.65286,2,,2.15
45.25143,45.517143,25,45.68146,4,,36.97
44.928574,45.154285,,45.9,,,0.07
44.79286,45.432858,27,45.53857,5,,34.45
44.89286,45.23643,,45.485714,,,49.51
43.375717,44.004288,30,45.214287,0,,5.8
43.752857,43.862144,12,44.36286,1,,0.01
42.760002,43.084286,19,43.94286,2,,18.8
42.537148,42.928574,29,43.427143,4,,13.34
43.527145,44.061428,,44.238575,,,1.22
43.605717,43.818577,38,44.057144,3,,9.75
43.695717,44.765713,13,44.765713,6,,9.735
43.79429,44.10429,21,44.535717,4,,55.1
44.535717,44.97072,10,45.057144,2,,0.1018
44.705715,45.000004,26,45.3857,4,,0.0016
44.48286,45.267143,24,45.35429,5,,4.491923
44.41,44.45,15,44.908573,3,,0.00825
45.000004,45.2,9,45.39286,2,,3.0044
44.98429,45.45,23,45.57143,4,,121.31
45.19143,45.348576,,45.52143,,,105.58
45.488575,45.735714,24,46.047142,5,,0.6
45.445717,45.458572,15,46.284286,5,,39.89
45.30143,45.858574,19,45.86,6,,8.29
45.574287,45.679646,8,46.07143,2,,110.54
45.51429,45.79429,,45.864285,,,0.01005
45.857143,45.95286,23,46.437145,3,,2.51
45.57143,45.75572,28,46.077145,3,,18.14
45.598576,45.765713,27,46.14286,6,,2.25
45.728573,45.89286,22,46.087143,3,,11.995
45.747147,45.80143,25,45.970005,2,,10.5
45.461433,46.030003,24,46.178574,5,,30.79
46.007145,46.315,,46.341434,,,0.0285
46.221428,46.45143,1,46.53143,1,,0.0004
46.16715,46.228573,28,46.45,5,,8.16
45.93143,46.38286,23,46.491432,4,,1.74
46.437145,46.495716,26,46.665718,3,,0.0001
46.44286,46.470005,12,46.63572,1,,29.42
46.15,46.237144,21,46.50143,4,,10.75
45.901432,46.08,26,46.211433,5,,0.007
46.405216,47.081432,2,47.180004,0,,89.28
46.878574,47.327145,18,47.500004,3,,33.37
47.07143,47.714287,28,47.76286,4,,11.35
47.557144,47.675716,,47.89286,,,28.62
47.414288,48.017143,21,48.050003,1,,0.75
48.16715,48.922142,0,49.03286,0,,0.2
48.495716,48.805717,35,49.280003,6,,7.41
48.857143,49.20286,23,49.20429,6,,51.74
49.121433,49.38286,0,49.520004,0,,10.535
49.205715,49.78286,26,49.78286,4,,11.21
46.57143,48.664288,28,49.251785,6,,108.03
48.125717,48.405716,24,49.800003,6,,327.36
47.16,47.525715,21,48.32857,3,,119.8
46.66143,46.67429,31,47.840004,4,,1.5
46.67429,48.207146,22,48.207146,1,,0.008
47.79572,48.77143,26,48.777145,4,,4.86
48.785717,49.121433,7,49.371433,3,,0.7251
48.975857,49.030003,27,49.241833,4,,36.63
47.646862,48.01429,27,49.2,3,,0.00075
47.757145,48.47429,19,48.577145,4,,16.57
48.711433,49.29,0,49.378574,0,,94.14
49.07857,49.188576,4,49.32143,0,,98.91
48.364285,49.06286,23,49.177143,4,,81.45
49.07286,49.500004,23,49.528576,4,,0.106
49.66286,50.268574,3,50.464287,0,,1.2
50.307144,50.742863,30,50.78857,5,,37.71
50.695717,51.165718,24,51.285717,4,,9.1
49.714287,50.648575,12,51.428574,1,,25.07
50.505726,50.978573,29,51.114285,4,,7.945
50.958572,51.311428,17,51.35429,5,,0.0001
51.07857,51.414288,13,51.42429,1,,1.48
51.500004,51.875717,29,52.128574,4,,145.6
50.93143,51.185715,5,51.467144,1,,0.255
49.93143,50.08,26,51.357143,0,,8.02
48.245716,48.372856,25,49.342857,5,,20
48.372856,48.945717,21,49.23429,4,,0.37
48.338573,48.98286,15,49.307144,4,,24.295301
49.257145,49.737144,30,49.775715,5,,8.79
50.16,50.458572,,50.721428,,,0.0401
49.668716,49.901432,28,50.817146,5,,55.25
49.77143,50.30286,21,50.621433,6,,1.29
50.84572,51.365715,0,51.398575,0,,19.6
51.107143,51.428574,23,51.470005,4,,0.0705
50.187145,50.765713,13,51.66715,7,,0.0003
50.32143,50.82286,11,51.057144,5,,6
50.085716,50.35286,24,50.680004,4,,0.0035
49.27143,49.52429,25,49.967144,5,,2
49.285717,50.284286,20,50.331432,2,,35.14
50.187145,50.50857,17,50.926346,4,,0.1599
48.585716,49.347145,27,49.69143,4,,13.2
46.608574,47.14429,27,49.000004,6,,20.12
47.237087,47.805717,22,48.515713,5,,0.51
47.14286,47.238575,25,48.31429,4,,0.0575
47.89429,48.471428,29,48.534286,7,,11.11
48.448574,48.742863,0,48.945717,0,,8
47.992863,48.455715,28,48.60286,6,,41.98
48.408573,49.28143,,49.428574,,,0.10355
49.574287,50.220005,28,50.29429,5,,72.88
50.06286,50.06286,25,50.617146,4,,0.008
49.437145,50.137142,1,50.137142,0,,245.22
49.63429,49.804287,,50.125717,,,114.43
49.437145,49.78679,,49.971428,,,2.23
49.04286,49.22286,26,50.22674,5,,0.46405
48.342857,48.741432,20,49.228573,4,,0.0098
48.000004,48.41286,2,48.89286,0,,5.37
48.16286,48.29143,26,49.128574,4,,9.4
48.004288,48.297142,0,48.63286,0,,10.58
47.707146,47.865715,18,48.592857,4,,0.21
47.145714,47.257145,20,47.95286,4,,59.45
47.171432,47.485714,23,47.675716,5,,0.005
47.502857,48.018574,24,48.020004,5,,52.18
47.437145,47.488575,19,48.000004,5,,12.77
46.685715,46.780003,29,47.66286,4,,0.001
45.737144,47.407146,27,47.461433,3,,11.5
47.387142,48.265713,39,48.28286,7,,5.05
48.785717,48.915718,,49.39286,,,0.0111
49.78857,50.099434,0,50.73286,0,,22.7
50.04286,50.42986,,50.535717,,,4.71
49.907146,50.060005,33,50.712856,4,,0.0034
49.585716,50.02143,26,50.335716,6,,10.34
49.36,49.535717,18,49.964287,5,,11.05
49.523716,50.018574,25,50.56429,4,,0.161
49.357143,49.468575,30,50.067,6,,24.71
49.374287,49.742863,0,49.98429,0,,1.07505
49.554287,49.938576,9,50.26143,2,,81.99
49.435715,49.535717,26,50.13572,4,,99.4
49.458572,49.52286,0,50.000004,0,,236.43
49.503944,49.657146,23,49.88572,7,,17.94
49.52286,49.921432,14,49.955715,1,,450
49.32,49.60429,21,50.000004,5,,12
48.895714,49.510002,15,49.588573,4,,0.0272
48.621433,48.64286,32,49.464287,3,,68.38
47.51429,47.614285,20,48.745716,5,,254.16
47.247147,48.020004,28,48.020004,5,,0.007
48.000004,48.55286,5,48.721428,0,,28.48
48.38143,48.647144,16,48.916286,5,,0.02255
47.86,47.888573,22,48.707146,5,,3
47.060005,47.77143,29,47.997147,5,,0.228
47.334286,47.455715,27,47.985573,3,,0.1489
47.550003,48.11143,18,48.365715,4,,21.74
47.776432,47.857143,29,48.127148,4,,11.2
47.75857,48.20143,27,48.23286,5,,0.0036
48.714287,49.69,23,49.69,5,,0.0001
49.235714,49.358574,27,50.304573,5,,0.0365
49.185715,49.443142,19,49.711433,3,,0.0601
48.858574,49.06286,1,49.33286,0,,0.49
48.25857,48.29143,26,49.57857,3,,58.46
47.414288,47.434288,21,48.317146,5,,20.92
47.235714,47.462856,20,47.82857,2,,0.06055
47.250004,47.355717,28,47.66715,4,,1.00E-06
46.50143,46.557144,3,47.38,0,,2.1
46.438576,46.657146,24,46.901432,6,,0.0075
47.04429,47.491432,0,47.607143,0,,0.0212
46.41143,46.678574,28,47.185715,5,,41.28
45.475716,46.45143,0,46.954445,0,,154.11
45.622856,45.75143,30,47.035717,6,,0.957
44.357143,45.04572,1,45.38572,1,,0.0569
45.028576,46.471428,26,46.54286,5,,18.75
46.054287,46.087143,30,46.985714,5,,0.11
45.445717,47.318577,27,47.38429,6,,0.8527
46.44143,46.621433,18,47.592857,4,,0.0001
46.750004,47.434288,15,47.7,3,,9.96
47.63429,47.89429,1,48.100002,1,,33.4
47.41143,47.720005,7,48.05286,0,,5.52
47.548573,47.95286,26,48.018574,5,,33.72
47.742863,49.037148,26,49.07143,6,,4.21
48.928574,49.91857,3,49.975716,0,,0.385
49.530003,50.25143,27,50.585716,6,,2.92
50.57143,51.028576,,51.14286,,,124.495
50.31429,51.387142,18,51.428574,10,,0.00315
50.40286,50.57143,25,51.395714,7,,3.88
49.80286,50.535717,0,51.097145,0,,1.81
50.91143,51.145714,17,51.428574,4,,0.02
50.905716,51.11,28,51.658573,6,,14.48
51.310005,52.13143,0,52.14286,0,,57.36
52.182858,53.4,10,53.52143,4,,0.098
53.331432,53.835716,20,54.092857,4,,14.04
55.14286,55.27143,24,56.61,4,,241.73
54.842857,55.32715,26,55.72286,5,,0.0002
55.39286,56.185715,25,56.435715,6,,9.31
55.660004,56.928574,27,57.14286,4,,0.0155
57.097145,57.630005,12,57.785717,1,,39.15
56.02143,56.08429,3,57.520004,0,,3.2
55.447147,55.97429,25,56.71286,4,,0.03165
54.857147,55.78286,21,56.45,4,,78.54
56.05286,56.678574,22,57.07143,3,,0.085
55.478577,55.558575,,56.842857,,,3148.73
54.605717,56.081432,22,56.221428,5,,52.93
53.907146,53.91,31,55.902863,4,,14.75
51.79572,53.374287,23,54.785717,6,,0.0697
50.43143,50.458572,20,52.53857,7,,67.53
50.714287,53.430004,33,53.515713,4,,0.097
51.785717,51.955715,0,53.52143,0,,0.0032
52.10286,53.38572,27,53.63572,5,,0.50025
53.461433,53.855717,0,54.23429,0,,10.24
54.01286,54.77286,29,54.995716,4,,18.775
53.72286,54.35429,23,54.767143,4,,19.17
54.000004,54.348576,23,54.93143,3,,0.0001
51.624287,52.29286,14,53.235714,6,,0.0319
50.857143,50.86143,30,52.428574,6,,206.93
50.727146,50.920002,0,52.125717,0,,13.93
51.000004,53.371433,2,53.377148,0,,6
52.94286,53.74,21,54.137142,5,,1.6
52.14286,53.388573,,53.63572,,,11.095
52.971546,54.797142,5,54.82857,2,,12.06
55.428574,55.710003,26,55.928574,4,,1.64
55.17286,55.71286,28,55.977146,3,,35.39
54.55143,54.975716,,56.01143,,,28.21
54.388573,54.432858,30,55.334274,4,,2.43
53.118572,53.435715,32,54.000004,4,,0.38
52.35429,54.248573,3,54.33286,1,,0.02
54.57143,54.847145,27,55.085716,5,,327.23
54.615715,54.877148,22,55.515717,4,,0.0125
53.574287,53.925716,,55.14286,,,0.92001
53.128574,54.277145,31,54.41143,4,,0.02375
54.32143,54.945717,0,55.17286,0,,0.0034
55.108574,55.61429,27,56.030003,5,,268.59
55.7,56.137146,25,56.237144,4,,0.006111
56.43286,57.214287,25,57.214714,5,,0.02
56.457783,58.80429,25,59.03286,5,,2.47
58.741432,59.06429,,60.408573,,,15.52
58.857147,58.877148,18,60.227146,5,,0.02
56.671432,57.402863,24,58.54572,5,,0.0048
57.121433,57.757145,27,58.105717,4,,0.0107
55.9,57.59572,20,57.711433,3,,0.0016
56.865715,57.037148,31,58.464287,4,,206.3
56.64429,56.715717,5,57.677143,2,,1.00E-06
55.17286,55.79572,12,57.458572,1,,280
54.45429,54.47429,0,55.555717,0,,52.8
53.310143,53.51429,25,54.66286,6,,12.82
50.605717,53.214287,1,54.54286,0,,0.0115
51.471428,54.035717,30,54.260002,6,,0.1699
53.114925,53.91,23,54.968575,5,,3.29
52.64129,52.82857,,53.962856,,,9.47
54.030003,55.54429,23,55.54429,5,,0.28914
55.928574,57.184288,22,57.597145,4,,38.99
57.16286,57.45572,23,58.464287,4,,1.35
57.550003,58.347145,20,58.347145,5,,297.86
59.324287,60.285717,,60.285717,,,7.73
59.420002,59.998573,28,60.957146,5,,28.19
59.427143,60.32,13,60.68668,3,,1.69
56.82857,56.945717,26,58.345573,5,,6.19
56.315716,56.47286,30,57.19286,4,,0.01
55.82143,56.124287,24,57.020004,2,,108.27
56.485718,57.967144,28,58.07143,5,,0.021
56.768574,56.824287,0,58.07857,1,,3.05
56.164433,57.228577,,57.507145,,,0.0125
57.41286,57.81286,,58.428574,,,9.61
57.501434,57.850006,23,58.050003,4,,0.0023
57.29286,57.825718,4,58.475716,1,,38.5
56.17429,56.64429,19,57.07143,5,,30.17
56.444286,56.77286,24,57.20572,6,,20.76
56.48,57.581432,5,57.628574,3,,2.68
57.02286,57.177143,27,57.63429,6,,44.75
56.590004,57.10429,,57.14286,,,21.37
57.365715,58.03286,,58.285717,,,2.1
56.318577,56.468575,2,57.270004,0,,0.28
54.592857,55.031433,24,56.744286,6,,141.81
54.32286,54.945717,32,55.528576,4,,64.75
54.028576,54.180004,16,55.035717,0,,32.74
54.207146,55.547142,10,55.64286,2,,0.0001
54.902863,54.967144,0,55.877148,0,,0.17
53.64286,53.915718,18,54.940002,6,,24.06
53.554287,53.56286,24,54.284286,5,,0.0001
52.27286,52.715717,,53.097145,,,7.16
52.991432,53.787148,,53.99,,,0.0024
52.41143,52.427143,18,53.69143,6,,0.0013
51.90286,51.938576,30,53.02143,5,,0.0038
52.904285,53.73143,20,53.817146,5,,14.78
52.88572,53.31429,15,54.118572,1,,54.375
54.04286,54.600002,24,54.61086,5,,5.4
54.39286,55.41857,30,55.57143,5,,91.68
55.51143,55.671432,21,56.23285,7,,3.38
55.76972,56.14429,31,56.630005,6,,0.0002
55.625717,55.850006,28,56.375717,3,,7.6
55.251785,55.58429,24,55.848576,5,,0.0017
55.747147,55.808575,24,56.500004,2,,1.23
55.86143,56.23143,24,56.29143,5,,0.0013
55.63572,55.977146,22,56.27143,3,,11.8
55.300003,55.54429,29,56.485718,3,,1.22
53.95429,54.31286,12,55.340004,4,,7.99
54.04429,54.13429,30,54.82,5,,0.075
54.22429,54.43143,12,54.878574,3,,0.0001
54.35429,54.60143,7,54.978577,3,,4.71
55.32286,56.56429,6,56.585716,2,,4.48
56.001434,56.635002,25,56.757145,4,,1.00E-06
56.585716,56.935715,3,57.018574,0,,1.00E-06
57.070717,57.618572,11,57.655716,0,,9.52
57.574287,58.075718,24,58.44143,4,,0.0001
57.33429,57.520004,24,58.32143,4,,0.911
57.215717,57.874287,28,57.95,2,,1.4
57.64143,57.857147,23,58.04,5,,4.855
58.428574,58.747147,22,58.928574,4,,21.22
58.468575,59.06286,25,59.24,3,,0.065
58.95286,59.718575,20,59.79286,4,,2.75
59.888573,60.342857,23,60.39286,5,,6.9
60.19286,60.247147,,61.107147,,,0.075
60.214287,60.46286,24,60.857147,4,,0.0675
59.901432,60.36429,31,60.407146,7,,4.7
59.82143,60.198578,31,60.414288,8,,2.4
59.808575,59.97286,,60.06429,,,0.00725
60.42286,60.671432,28,60.855717,4,,0.01185
60.9,61.30143,,61.35286,,,12.1
60.930004,61.107147,15,61.624146,6,,0.9
59.964287,60.04286,14,61.07143,2,,31.06
60.32857,61.05843,22,61.207146,6,,13.95
59.935715,60.058575,12,60.728584,3,,40.84
63.390003,63.808575,18,64.92143,3,,42.48
